Height	theta	q	u	v
3334.829	305.527	5.312	0.0	32.152
3340.157	305.54	5.3	0.0	32.184
3345.457	305.553	5.288	0.0	32.215
3350.714	305.566	5.275	0.0	32.247
3355.943	305.579	5.261	0.0	32.278
3361.157	305.592	5.246	0.0	32.31
3366.371	305.605	5.231	0.0	32.341
3371.571	305.618	5.217	0.0	32.372
3376.771	305.631	5.203	0.0	32.403
3381.943	305.644	5.187	0.0	32.434
3387.086	305.657	5.171	0.0	32.465
3397.286	305.682	5.14	0.0	32.526
3402.371	305.695	5.124	0.0	32.557
3407.443	305.708	5.109	0.0	32.587
3412.514	305.72	5.094	0.0	32.618
3417.571	305.733	5.078	0.0	32.648
3422.614	305.745	5.062	0.0	32.678
3427.657	305.758	5.047	0.0	32.709
3432.686	305.771	5.033	0.0	32.739
3437.714	305.783	5.018	0.0	32.769
3442.729	305.796	5.003	0.0	32.799
3447.729	305.808	4.989	0.0	32.829
3452.714	305.821	4.975	0.0	32.859
3457.686	305.833	4.961	0.0	32.889
3462.629	305.845	4.946	0.0	32.918
3472.414	305.87	4.919	0.0	32.977
3477.257	305.882	4.906	0.0	33.006
3482.071	305.894	4.893	0.0	33.035
3486.857	305.906	4.88	0.0	33.064
3491.614	305.918	4.867	0.0	33.092
3496.343	305.929	4.855	0.0	33.121
3501.057	305.941	4.843	0.0	33.149
3505.786	305.953	4.831	0.0	33.177
3510.529	305.965	4.82	0.0	33.206
3515.271	305.977	4.809	0.0	33.234
3520.0	305.988	4.797	0.0	33.263
3524.714	306.0	4.786	0.0	33.291
3529.429	306.012	4.774	0.0	33.319
3534.143	306.024	4.762	0.0	33.347
3543.657	306.047	4.739	0.0	33.405
3548.471	306.059	4.726	0.0	33.433
3553.3	306.071	4.714	0.0	33.462
3558.143	306.084	4.702	0.0	33.491
3563.0	306.096	4.691	0.0	33.521
3567.843	306.108	4.681	0.0	33.55
3572.686	306.12	4.67	0.0	33.579
3577.557	306.132	4.659	0.0	33.608
3582.457	306.144	4.648	0.0	33.637
3587.4	306.157	4.636	0.0	33.667
3592.371	306.169	4.625	0.0	33.697
3597.371	306.181	4.615	0.0	33.727
3602.386	306.194	4.605	0.0	33.757
3607.4	306.207	4.597	0.0	33.787
3617.443	306.232	4.583	0.0	33.847
3622.486	306.244	4.576	0.0	33.878
3627.543	306.257	4.569	0.0	33.908
3632.6	306.269	4.561	0.0	33.938
3637.671	306.282	4.554	0.0	33.969
3642.757	306.295	4.546	0.0	33.999
3647.843	306.308	4.537	0.0	34.03
3652.957	306.32	4.525	0.0	34.06
3658.1	306.333	4.513	0.0	34.091
3663.257	306.346	4.502	0.0	34.122
3668.457	306.359	4.491	0.0	34.153
3673.671	306.372	4.48	0.0	34.185
3678.914	306.385	4.466	0.0	34.216
3684.171	306.398	4.452	0.0	34.248
3694.771	306.425	4.426	0.0	34.311
3700.114	306.438	4.415	0.0	34.343
3705.486	306.452	4.404	0.0	34.376
3710.871	306.465	4.394	0.0	34.408
3716.286	306.479	4.384	0.0	34.44
3721.714	306.492	4.372	0.0	34.473
3727.157	306.506	4.359	0.0	34.506
3732.629	306.519	4.347	0.0	34.538
3738.129	306.533	4.333	0.0	34.571
3743.671	306.547	4.315	0.0	34.605
3749.243	306.561	4.293	0.0	34.638
3754.814	306.575	4.273	0.0	34.672
3760.414	306.589	4.258	0.0	34.705
3766.029	306.603	4.246	0.0	34.739
3777.357	306.631	4.225	0.0	34.807
3783.071	306.646	4.212	0.0	34.841
3788.8	306.66	4.197	0.0	34.875
3794.529	306.674	4.178	0.0	34.91
3800.257	306.688	4.158	0.0	34.944
3805.986	306.703	4.138	0.0	34.979
3811.7	306.717	4.118	0.0	35.013
3817.414	306.731	4.098	0.0	35.047
3823.143	306.746	4.078	0.0	35.081
3828.871	306.76	4.057	0.0	35.116
3834.6	306.774	4.036	0.0	35.15
3840.343	306.789	4.015	0.0	35.185
3846.114	306.803	3.992	0.0	35.219
3851.9	306.818	3.968	0.0	35.254
3863.529	306.847	3.921	0.0	35.324
3869.371	306.861	3.897	0.0	35.359
3875.214	306.876	3.873	0.0	35.394
3881.086	306.891	3.848	0.0	35.429
3886.986	306.905	3.823	0.0	35.465
3892.914	306.92	3.796	0.0	35.5
3898.871	306.935	3.768	0.0	35.536
3904.843	306.95	3.741	0.0	35.572
3910.843	306.965	3.713	0.0	35.608
3916.843	306.98	3.684	0.0	35.644
3922.857	306.995	3.653	0.0	35.68
3928.871	307.01	3.621	0.0	35.716
3934.9	307.025	3.587	0.0	35.752
3940.943	307.041	3.553	0.0	35.788
3953.071	307.071	3.485	0.0	35.861
3959.157	307.086	3.451	0.0	35.898
3965.229	307.101	3.416	0.0	35.934
3971.3	307.117	3.38	0.0	35.97
3977.357	307.132	3.347	0.0	36.007
3983.414	307.147	3.316	0.0	36.043
3989.486	307.162	3.287	0.0	36.08
3995.571	307.177	3.257	0.0	36.116
4001.686	307.193	3.227	0.0	36.153
4007.814	307.208	3.2	0.0	36.19
4013.943	307.223	3.174	0.0	36.226
